datetime,sample_id,state,Main_Stock,Eff_Type
1,32,remaining_baseline_stock,remaining,baseline_stock
1,33,remaining_baseline_stock,remaining,baseline_stock
1,34,remaining_baseline_stock,remaining,baseline_stock
1,35,remaining_baseline_stock,remaining,baseline_stock
1,36,remaining_baseline_stock,remaining,baseline_stock
1,37,remaining_baseline_stock,remaining,baseline_stock
1,38,remaining_baseline_stock,remaining,baseline_stock
1,39,remaining_baseline_stock,remaining,baseline_stock
1,40,remaining_baseline_stock,remaining,baseline_stock
1,41,remaining_baseline_stock,remaining,baseline_stock
1,42,remaining_baseline_stock,remaining,baseline_stock
1,43,remaining_baseline_stock,remaining,baseline_stock
1,44,remaining_baseline_stock,remaining,baseline_stock
1,45,remaining_baseline_stock,remaining,baseline_stock
1,46,remaining_baseline_stock,remaining,baseline_stock
1,47,remaining_baseline_stock,remaining,baseline_stock
1,48,remaining_baseline_stock,remaining,baseline_stock
1,49,ret_er_efficient_stock,ret,efficient_stock
1,50,ret_er_efficient_stock,ret,efficient_stock
1,51,remaining_efficient_stock,remaining,efficient_stock
1,52,remaining_efficient_stock,remaining,efficient_stock
1,53,remaining_efficient_stock,remaining,efficient_stock
1,54,remaining_efficient_stock,remaining,efficient_stock
1,55,remaining_efficient_stock,remaining,efficient_stock
1,56,remaining_efficient_stock,remaining,efficient_stock
1,57,remaining_efficient_stock,remaining,efficient_stock
1,58,remaining_efficient_stock,remaining,efficient_stock
1,59,remaining_efficient_stock,remaining,efficient_stock
1,60,remaining_efficient_stock,remaining,efficient_stock
1,61,rob_below_baseline_stock,rob,below_baseline_stock
1,62,rob_below_baseline_stock,rob,below_baseline_stock
1,63,ret_er_below_baseline_stock,ret,below_baseline_stock
1,64,ret_er_below_baseline_stock,ret,below_baseline_stock
1,65,ret_er_below_baseline_stock,ret,below_baseline_stock
1,66,ret_er_below_baseline_stock,ret,below_baseline_stock
1,67,rob_baseline_stock,rob,baseline_stock
1,68,rob_baseline_stock,rob,baseline_stock
1,69,rob_baseline_stock,rob,baseline_stock
1,70,rob_baseline_stock,rob,baseline_stock
1,71,rob_baseline_stock,rob,baseline_stock
1,72,rob_baseline_stock,rob,baseline_stock
1,73,ret_er_baseline_stock,ret,baseline_stock
1,74,ret_er_baseline_stock,ret,baseline_stock
1,75,ret_er_baseline_stock,ret,baseline_stock
1,76,ret_er_baseline_stock,ret,baseline_stock
1,77,ret_er_baseline_stock,ret,baseline_stock
1,78,ret_er_baseline_stock,ret,baseline_stock
1,79,ret_er_baseline_stock,ret,baseline_stock
1,80,ret_er_baseline_stock,ret,baseline_stock
1,81,ret_er_baseline_stock,ret,baseline_stock
1,82,ret_er_baseline_stock,ret,baseline_stock
1,83,ret_er_baseline_stock,ret,baseline_stock
1,84,ret_er_baseline_stock,ret,baseline_stock
1,85,rob_efficient_stock,rob,efficient_stock
1,86,rob_efficient_stock,rob,efficient_stock
1,87,ret_er_efficient_stock,ret,efficient_stock
1,88,ret_er_efficient_stock,ret,efficient_stock
1,89,ret_er_efficient_stock,ret,efficient_stock
1,90,ret_er_efficient_stock,ret,efficient_stock
1,91,remaining_efficient_stock,remaining,efficient_stock
1,92,remaining_efficient_stock,remaining,efficient_stock
1,93,remaining_efficient_stock,remaining,efficient_stock
1,94,remaining_efficient_stock,remaining,efficient_stock
1,95,remaining_efficient_stock,remaining,efficient_stock
1,96,remaining_efficient_stock,remaining,efficient_stock
1,97,remaining_efficient_stock,remaining,efficient_stock
